epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,2525.57,0.61578,0.37236,1.01747,0.86229,0.78441,0.82054,0.64491,1.00742,0.90768,1.36518,0.0003565,0.0003565,0.0003565
132,2537.07,0.61309,0.38878,1.01431,0.88348,0.77869,0.8346,0.64544,1.02007,0.90557,1.33823,0.00035155,0.00035155,0.00035155
133,2548.7,0.61578,0.39084,1.00326,0.84846,0.76446,0.83583,0.64567,1.03377,0.92081,1.39089,0.0003466,0.0003466,0.0003466
134,2560.16,0.59436,0.38629,0.99678,0.86695,0.82296,0.8754,0.67208,0.98336,0.78847,1.31261,0.00034165,0.00034165,0.00034165
135,2571.51,0.59133,0.37263,0.99562,0.93614,0.76081,0.87154,0.67679,0.95477,0.85184,1.28501,0.0003367,0.0003367,0.0003367
136,2582.87,0.60025,0.37728,0.9872,0.94369,0.74469,0.86955,0.68509,0.97896,0.8227,1.3066,0.00033175,0.00033175,0.00033175
137,2594.18,0.58594,0.36961,0.99159,0.92768,0.74393,0.86916,0.67997,1.01642,0.92814,1.35701,0.0003268,0.0003268,0.0003268
138,2605.57,0.58057,0.36224,0.98712,0.94298,0.75479,0.86838,0.67293,0.9594,0.88457,1.33294,0.00032185,0.00032185,0.00032185
139,2617.06,0.58641,0.36508,0.9967,0.95023,0.81424,0.87578,0.69541,0.95049,0.68785,1.28393,0.0003169,0.0003169,0.0003169
140,2628.52,0.59372,0.37072,0.99796,0.96775,0.74794,0.87536,0.70127,0.92093,0.78269,1.30744,0.00031195,0.00031195,0.00031195
141,2639.96,0.56274,0.36299,0.97848,0.94183,0.7527,0.85367,0.67979,0.99433,0.83804,1.35524,0.000307,0.000307,0.000307
142,2651.31,0.57994,0.36672,0.99948,0.91286,0.76658,0.82445,0.63944,1.02805,0.88178,1.41377,0.00030205,0.00030205,0.00030205
143,2662.78,0.57184,0.3532,0.9966,0.87968,0.81276,0.844,0.65241,1.03091,0.77113,1.41246,0.0002971,0.0002971,0.0002971
144,2674.32,0.57265,0.35848,0.98606,0.9573,0.79476,0.88073,0.67796,0.96306,0.71725,1.3076,0.00029215,0.00029215,0.00029215
145,2685.91,0.58799,0.36547,0.98722,0.93534,0.78391,0.88067,0.6812,0.92501,0.71369,1.27843,0.0002872,0.0002872,0.0002872
146,2697.48,0.55911,0.35118,0.97508,0.95273,0.779,0.86977,0.68547,0.96705,0.74922,1.34732,0.00028225,0.00028225,0.00028225
147,2709.26,0.54791,0.34745,0.97179,0.91178,0.78289,0.86417,0.69135,0.96979,0.76893,1.35621,0.0002773,0.0002773,0.0002773
148,2721.08,0.57558,0.36311,0.98892,0.88353,0.81463,0.87376,0.69084,0.98244,0.87102,1.34671,0.00027235,0.00027235,0.00027235
149,2735.47,0.56305,0.34971,0.9933,0.85625,0.79743,0.83213,0.65093,0.99125,0.91184,1.36516,0.0002674,0.0002674,0.0002674
150,2749.73,0.54727,0.34443,0.97375,0.89948,0.75208,0.83803,0.65338,1.0032,0.91177,1.37542,0.00026245,0.00026245,0.00026245
151,2761.21,0.54581,0.34329,0.97965,0.91705,0.79485,0.87449,0.6877,1.00176,0.79742,1.34478,0.0002575,0.0002575,0.0002575
152,2772.66,0.5299,0.34193,0.96853,0.93772,0.75922,0.87372,0.70834,0.93792,0.80549,1.29492,0.00025255,0.00025255,0.00025255
153,2784.25,0.55481,0.34485,0.98242,0.92572,0.77409,0.85983,0.67832,0.95311,0.83926,1.29671,0.0002476,0.0002476,0.0002476
154,2795.8,0.55279,0.34541,0.97369,0.90304,0.77282,0.85766,0.6835,0.90428,0.84216,1.26054,0.00024265,0.00024265,0.00024265
155,2807.22,0.54525,0.36022,0.98867,0.88704,0.79299,0.88104,0.68712,0.93009,0.78431,1.29168,0.0002377,0.0002377,0.0002377
156,2818.65,0.5623,0.36214,0.98987,0.90975,0.76665,0.88148,0.68831,0.95757,0.77486,1.32844,0.00023275,0.00023275,0.00023275
157,2829.9,0.52487,0.34394,0.97689,0.89458,0.75239,0.81503,0.64344,0.97529,0.87597,1.36658,0.0002278,0.0002278,0.0002278
158,2841.33,0.53072,0.331,0.97623,0.88732,0.77474,0.83837,0.64495,1.0018,0.87509,1.35961,0.00022285,0.00022285,0.00022285
159,2852.81,0.53999,0.35602,0.97436,0.92889,0.76395,0.85233,0.679,0.94525,0.83598,1.30531,0.0002179,0.0002179,0.0002179
160,2864.57,0.54094,0.34189,0.97211,0.94925,0.76548,0.8549,0.68299,0.90903,0.87117,1.26463,0.00021295,0.00021295,0.00021295
161,2876.01,0.55262,0.34994,0.98108,0.93471,0.75434,0.83153,0.67808,0.95773,0.85833,1.30588,0.000208,0.000208,0.000208
162,2887.45,0.5382,0.33472,0.97226,0.91507,0.73987,0.85427,0.66423,0.97845,0.80903,1.35192,0.00020305,0.00020305,0.00020305
163,2898.83,0.5292,0.34527,0.98163,0.88742,0.76067,0.85868,0.67928,0.96687,0.82877,1.34423,0.0001981,0.0001981,0.0001981
164,2910.26,0.53828,0.33959,0.97425,0.90321,0.74578,0.86073,0.69115,0.948,0.82188,1.31436,0.00019315,0.00019315,0.00019315
165,2921.72,0.53376,0.33498,0.97945,0.88273,0.77381,0.85545,0.68102,0.96655,0.83496,1.32032,0.0001882,0.0001882,0.0001882
166,2933.26,0.53689,0.32326,0.98156,0.87832,0.80673,0.87014,0.68001,0.97153,0.72996,1.33044,0.00018325,0.00018325,0.00018325
167,2944.86,0.5296,0.33915,0.96815,0.84639,0.8251,0.86188,0.6831,0.9765,0.72218,1.38153,0.0001783,0.0001783,0.0001783
168,2956.37,0.52861,0.33616,0.97432,0.84388,0.82825,0.85691,0.6831,0.9571,0.78898,1.3436,0.00017335,0.00017335,0.00017335
169,2968.1,0.52861,0.33382,0.97267,0.91158,0.75324,0.84427,0.66743,0.97894,0.87946,1.31926,0.0001684,0.0001684,0.0001684
170,2979.6,0.51397,0.319,0.95816,0.89641,0.7436,0.82715,0.64241,0.97834,0.96589,1.33966,0.00016345,0.00016345,0.00016345
171,2991.03,0.52855,0.33111,0.96811,0.87381,0.76747,0.83927,0.66532,0.97421,0.88407,1.33244,0.0001585,0.0001585,0.0001585
172,3002.54,0.5136,0.32382,0.95355,0.87518,0.79381,0.86818,0.67815,0.95914,0.84009,1.32497,0.00015355,0.00015355,0.00015355
173,3014.19,0.52291,0.32428,0.96517,0.88245,0.78489,0.87265,0.68387,0.9387,0.79067,1.31126,0.0001486,0.0001486,0.0001486
174,3025.62,0.51638,0.31503,0.96727,0.93706,0.77938,0.88358,0.69481,0.93433,0.74294,1.30529,0.00014365,0.00014365,0.00014365
175,3037.15,0.50151,0.31413,0.95751,0.88725,0.80689,0.87459,0.70091,0.94684,0.69427,1.32454,0.0001387,0.0001387,0.0001387
176,3048.49,0.50801,0.32244,0.9625,0.86141,0.84865,0.88965,0.69783,0.95914,0.68158,1.30991,0.00013375,0.00013375,0.00013375
177,3059.8,0.51839,0.33179,0.96912,0.93155,0.77647,0.87105,0.69377,0.97097,0.74051,1.33329,0.0001288,0.0001288,0.0001288
178,3071.11,0.51878,0.3339,0.97911,0.92379,0.79491,0.88181,0.69946,0.95288,0.73236,1.31585,0.00012385,0.00012385,0.00012385
